[20:01:45] [plugins/mysql] cache_set_active: invalid cache id '0' (DIALOG.pwn:18)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:7 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name: no active cache (NATIVE.pwn:8 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name: no active cache (NATIVE.pwn:10 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name: no active cache (NATIVE.pwn:12 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:14 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:15 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:16 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:17 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:18 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:19 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:20 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name: no active cache (NATIVE.pwn:21 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name: no active cache (NATIVE.pwn:23 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:25 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:26 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:27 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:28 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:29 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:30 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:31 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:32 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:33 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:34 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:35 -> DIALOG.pwn:21)
[20:01:45] [plugins/mysql] cache_get_value_name_int: no active cache (NATIVE.pwn:36 -> DIALOG.pwn:21)
